City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Rio Gallegos,AR,-51.6226,-69.2181,64.45,22,75,23.02,broken clouds
221,Ahipara,NZ,-35.1667,173.1667,61.23,61,0,3.87,clear sky
222,Marawi,PH,7.9986,124.2928,68.72,93,100,1.43,overcast clouds
223,Emerald,AU,-23.5333,148.1667,77.0,50,17,0.69,few clouds
224,Airai,TL,-8.9266,125.4092,61.05,82,96,2.66,overcast clouds
225,Kidal,ML,18.4411,1.4078,79.41,14,83,10.58,broken clouds
226,Brae,GB,60.3964,-1.353,52.05,94,90,13.8,overcast clouds
227,Douentza,ML,14.9951,-2.9517,88.68,16,100,6.64,overcast clouds
228,Richards Bay,ZA,-28.783,32.0377,69.57,94,62,2.21,broken clouds
229,Fortuna,US,40.5982,-124.1573,60.93,63,0,16.11,clear sky
230,Port Lincoln,AU,-34.7333,135.8667,56.19,84,100,17.02,overcast clouds
231,Georgetown,MY,5.4112,100.3354,79.95,86,40,14.0,scattered clouds
232,Huarmey,PE,-10.0681,-78.1522,66.61,73,53,11.01,broken clouds
233,Ust-Nera,RU,64.5667,143.2,-8.97,99,77,4.72,broken clouds
234,Berdigestyakh,RU,62.0989,126.6992,21.79,92,100,9.31,overcast clouds
235,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,81,58,12.44,broken clouds
236,Kampene,CD,-3.6,26.6667,69.96,88,29,1.92,scattered clouds
237,Tautira,PF,-17.7333,-149.15,77.27,78,60,6.42,broken clouds
238,Ketchikan,US,55.3422,-131.6461,43.27,87,100,20.71,moderate rain
239,Nanortalik,GL,60.1432,-45.2371,37.36,96,100,6.13,overcast clouds
240,Paamiut,GL,61.994,-49.6678,35.65,99,100,7.87,light rain
241,Palmer,US,42.1584,-72.3287,57.81,75,100,5.75,moderate rain
242,Phulji,PK,26.8825,67.6807,78.94,27,0,2.84,clear sky
243,Okhotsk,RU,59.3833,143.3,17.76,58,16,13.62,few clouds
244,Tete,MZ,-16.1564,33.5867,91.49,33,0,5.99,clear sky
245,Prince Rupert,CA,54.3161,-130.3201,47.89,89,100,44.87,light rain
246,Inirida,CO,3.8653,-67.9239,85.51,73,100,1.81,overcast clouds
247,Vao,NC,-22.6667,167.4833,72.95,77,100,26.87,overcast clouds
248,Ruidoso,US,33.3317,-105.673,64.96,44,21,41.43,few clouds
249,Yichang,CN,30.7144,111.2847,69.03,41,100,1.61,light rain
250,Chokurdakh,RU,70.6333,147.9167,0.19,98,99,8.88,overcast clouds
251,Sur,OM,22.5667,59.5289,80.08,39,0,8.43,clear sky
252,Orkney,ZA,-26.9802,26.6727,65.34,72,100,6.15,light rain
253,Cabo San Lucas,MX,22.8909,-109.9124,91.62,62,54,18.59,broken clouds
254,Kristinehamn,SE,59.3098,14.1081,45.27,82,100,6.55,overcast clouds
255,Elblag,PL,54.1522,19.4088,52.97,91,29,3.94,scattered clouds
256,Mwingi,KE,-0.9344,38.0601,68.32,69,15,5.41,few clouds
257,Saldanha,ZA,-33.0117,17.9442,60.85,90,81,22.19,broken clouds
258,Guerrero Negro,MX,27.9769,-114.0611,73.02,56,100,15.41,overcast clouds
259,Zwedru,LR,6.0667,-8.1281,72.88,97,100,2.46,light rain
260,Sokolo,ML,14.7328,-6.1219,86.56,33,93,7.2,overcast clouds
261,Shimoda,JP,34.6667,138.95,60.1,84,89,13.31,overcast clouds
262,Ville-Marie,CA,47.3335,-79.433,66.0,64,13,7.02,few clouds
263,Portland,US,45.5234,-122.6762,59.77,69,75,5.01,broken clouds
264,Aitape,PG,-3.1374,142.3475,77.16,88,95,3.6,overcast clouds
265,Houma,US,29.5958,-90.7195,81.0,61,0,16.11,clear sky
266,Thompson,CA,55.7435,-97.8558,35.76,60,100,11.5,overcast clouds
267,Mahon,ES,39.8885,4.2658,72.16,83,20,8.05,few clouds
